description,FaceValue,Products
"SAVE $1.50 on any ONE (1) Glade® 3-Wick Candles, Twin Pack 3.4oz Candles, PIugIn® Scented Oil Refill Pack, or Large Automatic Refills Only (Excludes 1 Count 3.4oz Candles and PlugIns® Scented Oil Warmer Only packs)",$1.50,"PIugIn® Scented Oil Refill Pack, Large Automatic Refills, Twin Pack 3.4oz Candles, 1 Count 3.4oz Candles, PlugIns® Scented Oil Warmer, PlugIns® Scented Oil Warmer Only packs, Large Automatic Refills Only, Glade® 3-Wick Candles, Twin, Candles and PlugIns® Scented Oil Warmer Only packs"
$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,$4.00,"SHEBA® PERFECT PORTIONS™ Premium Cat Food, multipack SHEBA® PERFECT PORTIONS™, multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food, SHEBA® PERFECT PORTIONS™"
"Save $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).",$3.00,"Kids, Crest Gum Detoxify, Gum, Crest, variants, larger, trial/travel size"
"Get $2.00 off any ONE (1) Bag of PULL-UPS® Training Pants (27 ct. or lower, not valid on trial packs)",$2.00,"PULL-UPS® Training Pants, PULL-UPS®, Bag of PULL-UPS® Training Pants"
"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product",$4.00,"Allegra®, Allegra-D®, Allegra® Allergy, Children's Allegra® Product, larger"
"Save $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$2.00,"Powder Laundry Detergent, Gain Fabric Enhancers, Gain Ultra Flings, Gain Liquid, Laundry Detergent, Gain Flings, Gain, Gain Fireworks, excludes Gain Liquid/Powder Laundry Detergent, Gain Liquid/Powder Laundry Detergent, Ultra, larger, trial/travel size"
"Save $2.00 ONE Tide Purclean Laundry Detergent (excludes Studio by Tide Laundry Detergent, Tide Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"Tide Simply PODS, Tide Purclean Laundry Detergent, Laundry Detergent, Tide Laundry Detergent, Studio by Tide Laundry Detergent, Tide, Tide detergent, Tide Rescue, Tide PODS, Tide Simply Laundry Detergent, Tide Simply, trial/travel size"
"$2.00 OFF ONE (1) Starbucks® K-Cup® Coffee with Essential Vitamins, Coffee with Golden Turmeric, or Coffee with 2X Caffeine Product",$2.00,"Coffee with 2X Caffeine Product, Starbucks®, K-Cup®, Golden, Coffee with Golden Turmeric, Starbucks® K-Cup® Coffee with Essential Vitamins"
"Save $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",$5.00,"Claritin®, larger"
Save $2.00 ONE Dreft Blissfuls In Wash Scent Boosters 8.6 oz or larger (excludes trial/travel size).,$2.00,"In Wash Scent Boosters, Wash Scent Boosters, Dreft Blissfuls In Wash Scent Boosters, larger, trial/travel size"
